,,,,,,,,,,,,,
Year,Month,Day,Direction,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Column1
1854,April,11,Upbound,American,Schooner,Toledo,Oswego,Port Dover,Salt,Coal,Water lime ,,IMG_4351.jpg
1854,April,11,Upbound,American,Schooner,New World,Oswego,Port Burwell,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,American,Schooner,Merrimac,Oswego,Chicago,Salt,Water lime,,,IMG_4351.jpg
1854,April,11,Upbound,American,Brigantine,Anseller Cobb,Oswego,Chicago,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,British,Schooner,Lilly,Oakville,St. Clair,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,British,Schooner,Flying Cloud,Oakville,Chatham,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,British,Schooner,Europe,Oakville,Lake St. Clair,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,British,Schooner,Elizabeth,Oakville,Point Pelee,No Cargo,,,,IMG_4351.jpg
1854,April,11,Upbound,British,Schooner,Royal Tar,Oakville,Morpeth,No Cargo,,,,IMG_4351.jpg
1854,April,12,Upbound,American,Brigantineantine,Lowell,Hamilton,Detroit,No Cargo,,,,IMG_4353.jpg
1854,April,12,Upbound,British,Schooner,Albion,Oakville,Port Stanley,No Cargo,,,,IMG_4353.jpg
1854,April,12,Upbound,British,Schooner,George Keefer,Niagara,St. Catharines,No Cargo,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Propeller,Jefferson,Oswego,Chicago,Sugar,Furniture ,Merchandise,,IMG_4353.jpg
1854,April,13,Upbound,American,Brigantine,Ashland,Oswego,Toledo,R.R. Iron,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Scotland,Oswego,Toledo,Salt,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Albion,Oswego,Toledo,Salt,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Roman,Oswego,Toledo,R.R. Iron,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Poland,Oswego,Cleveland,Salt,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Carrington,Oswego,Cleveland,Salt,R.R. Iron,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Wayne,Oswego,Detroit,Salt,,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Queen of the West,Oswego,Detroit,Salt,Water lime,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,Augustus Ford,Oswego,Chicago,Castings,Merchandise,,,IMG_4353.jpg
1854,April,13,Upbound,American,Schooner,H. Spencer,Sackets Harbour,Cleveland,No Cargo,,,,IMG_4353.jpg
1854,April,13,Upbound,British,Schooner,Avoca,Hamilton,Port Rowan,Pork,,,,IMG_4353.jpg
1854,April,13,Upbound,British,Schooner,Emma,Oswego,Port Burwell,Plaster,,,,IMG_4353.jpg
1854,April,14,Downbound,American,Schooner,Ithaca,Erie,St. Catharines,Coal,,,,IMG_4354.jpg
1854,April,14,Downbound,American,Propeller,Granite State,Cleveland,Ogdensburg,Lard,Oil,,,IMG_4354.jpg
1854,April,14,Upbound,American,Propeller,Kentucky,Oswego,Sandusky ,Merchandise,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Hamilton,Oswego,Toledo,R.R. Iron,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Cherokee,Oswego,Toledo,Salt,Plaster,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,G.S. Weeks,Oswego,Port Burwell,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,?,Oswego,Erie,Salt,Plaster,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Reindeer,Clayton,Detroit,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Montezuma,Clayton,Detroit,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Marshfield,Clayton,Detroit,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Arkansa,Ogdensburg,Erie,Iron Ore,,,,IMG_4353.jpg
1854,April,14,Upbound,American,Schooner,Lavinia,Ogdensburg,Cleveland,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,British,Schooner,Teresa Shickluna,St. Catharines,Allanburg,No Cargo,,,,IMG_4353.jpg
1854,April,14,Upbound,British,Schooner,Sarah & Cornelia,Kingston,Point Pelee,No Cargo,,,,IMG_4353.jpg
1854,April,15,Downbound,British,Schooner,Morning Star,Dunnville,Port Dalhousie,Plaster,,,,IMG_4356.jpg
1854,April,15,Upbound,American,Barkentine,Path Finder,Clayton,Wallaceburg ,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,Sovereign of the Lake,Clayton,Wallaceburg ,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Brigantine,Pilgrim,Clayton,Detroit,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Schooner,White Squall,Ogdensburg,Detroit,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,White Cloud,Ogdensburg,Cleveland,Iron Ore,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,William Sturgis,Ogdensburg,Cleveland,Iron Ore,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,General Worthington,Morristown,Buffalo,Pig Iron,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,Herald,Morristown,Buffalo,Pig Iron,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,Aerial,Kingston,Toledo,Stone,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Barkentine,Miranda,Cape Vincent,Chicago,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Brigantine,New York,Clayton,Bear Creek,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,American,Schooner,Napoleon,Oswego,Port Burwell,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,British,Schooner,Manchester,Clayton,Lake St. Clair,No Cargo,,,,IMG_4355.jpg
1854,April,15,Upbound,British,Schooner,Minerva Cook,Kingston,River St. Clair,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,W.F. Allen,Ogdensburg,Cleveland,Iron Ore,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Barkentine,Nucleus,Montreal,Cleveland,Iron Ore,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Propeller,Cleveland,Ogdensburg,Cleveland,Coal,Merchandise,,,IMG_4355.jpg
1854,April,17,Upbound,American,Propeller,Michigan,Ogdensburg,Chicago,Merchandise,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Propeller,Vermont,Ogdensburg,Detroit,Merchandise,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,Convoy,Oswego,Detroit,Plaster,Salt,Iron,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,White Cloud,Oswego,Detroit,Plaster,Salt,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,D.W. Church,Oswego,Sandusky,Salt,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,Patrick Henry,Oswego,Sandusky,Salt,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,Liverpool,Oswego,Chicago,Water Lime,Salt,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,Robert Wood,Oswego,Erie,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Brigantine,Canton,Oswego,Toledo,Coal,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Brigantine,Rio Grande,Morristown,Buffalo,Pig Iron,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,E.C. Williams,Rochester,Toledo,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,American,Schooner,Argo,Prescott,Milwaukee,R.R. Iron,,,,IMG_4355.jpg
1854,April,17,Upbound,British,Barkentine,Non Such,Clayton,River St. Clair,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,British,Barkentine,Quebec,Kingston,River St. Clair,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,British,Schooner,Quebec,Kingston,Point Pelee,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,British,Schooner,A. Gilmour,Kingston,Point Pelee,No Cargo,,,,IMG_4355.jpg
1854,April,17,Upbound,British,Schooner,Almeda,Toronto,Chatham,Merchandise,,,,IMG_4355.jpg
1854,April,18,Downbound,American,Propeller,Young America,Detroit,Cape Vincent,Pork,Flour,Beef,,IMG_4358.jpg
1854,April,18,Downbound,American,Schooner,Syracuse,Detroit,Kingston,Corn,,,,IMG_4358.jpg
1854,April,18,Downbound,British,Schooner,Teresa Shickluna,Allanburg,Cape Vincent,Flour,,,,IMG_4358.jpg
1854,April,18,Upbound,American,Schooner,Pierrepont,Sackets Harbour,Toledo,No Cargo,,,,IMG_4357.jpg
1854,April,19,Downbound,American,Propeller,Boston,Cleveland,Ogdensburg,Pork,Flour,Corn,,IMG_4358.jpg
1854,April,19,Downbound,American,Propeller,Lawsville,Cleveland,Oswego,Pork,Flour,Corn,,IMG_4358.jpg
1854,April,19,Downbound,American,Schooner,Young Leopard,Port Burwell,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,19,Downbound,American,Schooner,Fairfield,Detroit,Cape Vincent,Corn,,,,IMG_4358.jpg
1854,April,19,Downbound,British,Schooner,Petrel,Port Dover,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,19,Downbound,British,Schooner,Jane Ann Marsh,Port Dover,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,19,Downbound,British,Brigantine,British Queen,Port Sarnia,Kingston,Lumber,,,,IMG_4358.jpg
1854,April,19,Upbound,American,Schooner,Aetna,Oswego,Port Davis,No Cargo,,,,IMG_4357.jpg
1854,April,19,Upbound,American,Barkentine,Waverly,Oswego,Chicago,Pig Iron,,,,IMG_4357.jpg
1854,April,19,Upbound,American,Propeller,Ogdensburg,Ogdensburg,Chicago,Marble,Nail,Stone,,IMG_4357.jpg
1854,April,19,Upbound,American,Schooner,Ithaca,St. Catharines,Dunnville,No Cargo,,,,IMG_4357.jpg
1854,April,19,Upbound,British,Brigantine,Mohawk,Kingston,Bear Creek,No Cargo,,,,IMG_4357.jpg
1854,April,19,Upbound,British,Schooner,Arabian,Oakville,Port Stanley,Castings,?,,,IMG_4357.jpg
1854,April,20,Downbound,American,Barkentine,Northern Light,Detroit,Montreal,Corn,Flour,,,IMG_4358.jpg
1854,April,20,Downbound,American,Schooner,Jenny Lind,Cleveland,Montreal,Corn,Lard,,,IMG_4358.jpg
1854,April,20,Downbound,American,Schooner,C.T. Williams,Port Huron,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,20,Downbound,American,Schooner,New World,Port Burwell,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,20,Downbound,American,Schooner,Monsoon,Cleveland,Oswego,Corn,,,,IMG_4358.jpg
1854,April,20,Downbound,American,Schooner,Kosciusko,Cleveland,Montreal,Corn,Lard,Ground stone,,IMG_4358.jpg
1854,April,20,Downbound,American,Barkentine,America,Detroit,Montreal,Corn,,,,IMG_4358.jpg
1854,April,20,Downbound,British,Barkentine,Pomona,Detroit,Kingston,Flour,,,,IMG_4358.jpg
1854,April,20,Downbound,British,Schooner,Princess Victoria,Dreiden,Kingston,Staves,,,,IMG_4358.jpg
1854,April,20,Downbound,British,Schooner,Mary Frances,Port Stanley,St. Catharines,Pork,Lard ,Wheat,,IMG_4358.jpg
1854,April,20,Upbound,American,Schooner,Utica,Oswego,Port Burwell,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Schooner,T. Wiman,Oswego,Port Burwell,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Barkentine,Danube,Oswego,Chicago,Salt,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Barkentine,Chieftan,Cape Vincent,Cleveland,Pig Iron,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Schooner,John J. Morley,Pultneyville,Cleveland,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Schooner,Challenge,Charlotte,Cleveland,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Schooner,Excelsior,Charlotte,Chicago,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Schooner,City,Charlotte,Toledo,R.R. Iron,,,,IMG_4357.jpg
1854,April,20,Upbound,American,Brigantine,Mahoning,Oswego,Toledo,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,British,Steamer,Reindeer,Kingston,Cleveland,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,British,Schooner,Prince of Wales,Toronto,Bear Creek,No Cargo,,,,IMG_4357.jpg
1854,April,20,Upbound,British,Barkentine,Superior,Port Dalhousie,Bear Creek,No Cargo,,,,IMG_4357.jpg
1854,April,21,Downbound,American,Brigantine,Concord,Cleveland,Montreal,Corn,Pork,Flour,Lard,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,Speedwell,Cleveland,Montreal,Corn,Pork,,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,E. M. Lyon,Cleveland,Ogdensburg,Pork,Flour,Lard,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,A.L. Hoselton,Cleveland,Oswego,Pork,Beef,,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,Henry Clay,Port Dover,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,Toledo,Port Dover,Oswego,Lumber,,,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,Julia Smith,Wallaceburg,Montreal,Wheat,,,,IMG_4358.jpg
1854,April,21,Downbound,American,Schooner,Missouri,Erie,Toronto,Coal,,,,IMG_4358.jpg
1854,April,21,Downbound,British,Barkentine,Ontario,Wallaceburg,Kingston,Timber,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Barkentine,Empire,Wallaceburg,Kingston,Timber,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Barkentine,London,River St. Clair,Kingston,Timber,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Schooner,Georgiana,Clear Creek,Kingston,Staves,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Schooner,Conductor,Mersea,Kingston,Staves,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Schooner,Leander,Cleveland,Kingston,Coal,,,,IMG_4360.jpg
1854,April,21,Downbound,British,Schooner,Caroline Marsh,Cleveland,Montreal,Corn,,,,IMG_4360.jpg
1854,April,21,Upbound,American,Schooner,Acorn,Oswego,Port Burwell,No Cargo,,,,IMG_4357.jpg
1854,April,21,Upbound,British,Schooner,Premier,Kingston,Cleveland,R.R. Iron,,,,IMG_4357.jpg
1854,April,22,Downbound,American,Brigantine,Venice,Venice,Kingston,Flour,Fruit,,,IMG_4360.jpg
1854,April,22,Downbound,American,Brigantine,Manhattan,Port Burwell,Oswego,Lumber, ,,,IMG_4360.jpg
1854,April,22,Downbound,American,Schooner,Ino,Detroit,Oswego,Lumber, ,,,IMG_4360.jpg
1854,April,22,Downbound,American,Schooner,Omar,Cleveland,Oswego,Pork,Lard, ,,IMG_4360.jpg
1854,April,22,Downbound,American,Schooner,tamersil,Cleveland,Toronto,Stone,Coal,Oil,,IMG_4360.jpg
1854,April,22,Downbound,American,Barkentine,Hungarian,Toledo,Oswego,Pork,Lard,Beef,,IMG_4360.jpg
1854,April,22,Downbound,British,Schooner ,Mary,Cleveland,St. Catharines,Corn,Coal,,,IMG_4359.jpg
1854,April,22,Downbound,British,Schooner,George Keefer,Erie,Toronto,Coal,,,,IMG_4360.jpg
1854,April,22,Downbound,British,Schooner,James Coleman,Sombra,Kingston,Staves,,,,IMG_4360.jpg
1854,April,22,Upbound,American,Brigantine,Oxford,Oswego,Toledo,R.R. Iron,,,,IMG_4357.jpg
1854,April,22,Upbound,American,Schooner,Charles Crook,Oswego,Port Burwell,No Cargo,,,,IMG_4357.jpg
1854,April,22,Upbound,American,Schooner,Albany,Oswego,Ashtabula,No Cargo,,,,IMG_4357.jpg
1854,April,22,Upbound,American,Propeller,Northern Michigan,Oswego,Detroit,Merchandise,,,,IMG_4357.jpg
1854,April,22,Upbound,American,Propeller,Granite State,Ogdensburg,Chicago,Merchandise,Castings,,,IMG_4357.jpg
1854,April,22,Upbound,British,Schooner,Mary Frances,St. Catharines,Dunnville,No Cargo,,,,IMG_4359.jpg
1854,April,22,Upbound,British,Schooner,John Potter,Oakville,Buffalo,No Cargo,,,,IMG_4359.jpg
1854,April,22,Upbound,British,Schooner,Woodman,Kingston,Point Pelee,No Cargo,,,,IMG_4359.jpg
1854,April,22,Upbound,British,Schooner,Jenny Lind,Toronto,Dunnville,Whiskey,Merchandise,,,IMG_4359.jpg
1854,April,24,Downbound,American,Brigantine,Saxon,Toledo,Kingston,Corn, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,Major Kirby,Toledo,Port Hope,Corn, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,Carlton,Toledo,Oswego,?heal?, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,Comely,Toledo,Oswego,Corn, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,G.S. Weeks,Port Burwell,Oswego,Lumber, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,?aviso?,Black River,Oswego,Oak Planks, ,,,IMG_4360.jpg
