Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Direction,LAC Image #
1854,April,11,American,Brigantine,Anseller Cobb,Oswego,Chicago,No Cargo,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Brigantine,Seneca,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Brigantine,Seminole,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Schooner,Minnesota,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Schooner,Buena Vista,Oswego,Toledo,Salt,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Schooner,Ireland,Oswego,Toledo,Salt,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Schooner,Hamilton,Oswego,Toledo,Salt,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Schooner,Carlton,Oswego,Toledo,Plaster,,,,Upbound,IMG_4351.jpg
1854,April,11,American,Brigantine,Acadia,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4351.jpg
1854,April,12,American,Brigantine,Lowell,Hamilton,Detroit,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,12,British,Schooner,Albion,Oakville,Port Stanley,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,12,British,Schooner,George Keefer,Niagara,St. Catharines,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,H. Spencer,Sackets Harbour,Cleveland,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,13,British,Schooner,Avoca,Hamilton,Port Rowan,Pork,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Propeller,Jefferson,Oswego,Chicago,Sugar,Merchandise,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Poland,Oswego,Cleveland,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Carrington,Oswego,Cleveland,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Wayne,Oswego,Detroit,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Queen of the West,Oswego,Detroit,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Augustus Ford,Oswego,Chicago,Castings,,,,Upbound,IMG_4353.jpg
1854,April,13,British,Schooner,Emma,Oswego,Port Burwell,Plaster,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Brigantine,Ashland,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Scotland,Oswego,Toledo,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Albion,Oswego,Toledo,Salt,,,,Upbound,IMG_4353.jpg
1854,April,13,American,Schooner,Roman,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Ithaca,Erie,St. Catharines,Coal,,,,Downbound,IMG_4354.jpg
1854,April,14,American,Propeller,Granite State,Cleveland,Ogdensburg,Lard,Oil,,,Downbound,IMG_4354.jpg
1854,April,14,American,Schooner,Reindeer,Clayton,Detroit,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Montezuma,Clayton,Detroit,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Marshfield,Clayton,Detroit,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Arkansa,Ogdensburg,Erie,Iron Ore,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Lavinia,Ogdensburg,Cleveland,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,British,Schooner,Teresa Shickluna,St. Catharines,Allanburg,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,British,Schooner,Sarah & Cornelia,Kingston,Point Pelee,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,?,Oswego,Erie,Salt,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Propeller,Kentucky,Oswego,Sandusky ,Merchandise,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,G.S. Weeks,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Hamilton,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4353.jpg
1854,April,14,American,Schooner,Cherokee,Oswego,Toledo,Salt,,,,Upbound,IMG_4353.jpg
1854,April,15,British,Schooner,Morning Star,Dunnville,Port Dalhousie,Plaster,,,,Downbound,IMG_4356.jpg
1854,April,15,American,Barkentine,Path Finder,Clayton,Wallaceburg ,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,Sovereign of the Lake,Clayton,Wallaceburg ,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Brigantine,Pilgrim,Clayton,Detroit,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Schooner,White Squall,Ogdensburg,Detroit,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,White Cloud,Ogdensburg,Cleveland,Iron Ore,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,William Sturgis,Ogdensburg,Cleveland,Iron Ore,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,General Worthington,Morrisburg,Buffalo,Pig Iron,,,,Upbound,IMG_4355.jpg
